"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
2096.90664;"[0,3,4,1,11,1,]-[0]";"[3,4,1,11,1]";0;3;4;1;11;0;0;1;7;1
1419.30591;"[0,3,4,2,2,1,]-[0]";"[3,4,2,2,1]";0;3;4;2;2;0;0;1;7;1
1499.26272;"[0,3,4,2,3,1,]-[0]";"[3,4,2,3,1]";0;3;4;2;3;0;0;1;7;1
1579.21953;"[0,3,4,2,4,1,]-[0]";"[3,4,2,4,1]";0;3;4;2;4;0;0;1;7;1
1659.17634;"[0,3,4,2,5,1,]-[0]";"[3,4,2,5,1]";0;3;4;2;5;0;0;1;7;1
1739.13315;"[0,3,4,2,6,1,]-[0]";"[3,4,2,6,1]";0;3;4;2;6;0;0;1;7;1
1819.08996;"[0,3,4,2,7,1,]-[0]";"[3,4,2,7,1]";0;3;4;2;7;0;0;1;7;1
1899.04677;"[0,3,4,2,8,1,]-[0]";"[3,4,2,8,1]";0;3;4;2;8;0;0;1;7;1
1979.00358;"[0,3,4,2,9,1,]-[0]";"[3,4,2,9,1]";0;3;4;2;9;0;0;1;7;1
2058.96039;"[0,3,4,2,10,1,]-[0]";"[3,4,2,10,1]";0;3;4;2;10;0;0;1;7;1
1461.31647;"[0,3,4,3,2,1,]-[0]";"[3,4,3,2,1]";0;3;4;3;2;0;0;1;7;1
1541.27328;"[0,3,4,3,3,1,]-[0]";"[3,4,3,3,1]";0;3;4;3;3;0;0;1;7;1
1621.23009;"[0,3,4,3,4,1,]-[0]";"[3,4,3,4,1]";0;3;4;3;4;0;0;1;7;1
1701.1869;"[0,3,4,3,5,1,]-[0]";"[3,4,3,5,1]";0;3;4;3;5;0;0;1;7;1
1781.14371;"[0,3,4,3,6,1,]-[0]";"[3,4,3,6,1]";0;3;4;3;6;0;0;1;7;1
1861.10052;"[0,3,4,3,7,1,]-[0]";"[3,4,3,7,1]";0;3;4;3;7;0;0;1;7;1
1941.05733;"[0,3,4,3,8,1,]-[0]";"[3,4,3,8,1]";0;3;4;3;8;0;0;1;7;1
2021.01414;"[0,3,4,3,9,1,]-[0]";"[3,4,3,9,1]";0;3;4;3;9;0;0;1;7;1
1591.27369;"[0,4,4,0,3,1,]-[0]";"[4,4,0,3,1]";0;4;4;0;3;0;0;1;8;1
