"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
1045.12328;"[0,1,2,1,5,1,]-[6]";"[1,2,1,5,1]";0;1;2;1;5;0;6;1;3;1
585.19049;"[0,1,2,2,0,1,]-[0]";"[1,2,2,0,1]";0;1;2;2;0;0;0;1;3;1
602.21704;"[0,1,2,2,0,1,]-[1]";"[1,2,2,0,1]";0;1;2;2;0;0;1;1;3;1
665.1473;"[0,1,2,2,1,1,]-[0]";"[1,2,2,1,1]";0;1;2;2;1;0;0;1;3;1
682.17385;"[0,1,2,2,1,1,]-[1]";"[1,2,2,1,1]";0;1;2;2;1;0;1;1;3;1
699.2004;"[0,1,2,2,1,1,]-[2]";"[1,2,2,1,1]";0;1;2;2;1;0;2;1;3;1
745.10411;"[0,1,2,2,2,1,]-[0]";"[1,2,2,2,1]";0;1;2;2;2;0;0;1;3;1
762.13066;"[0,1,2,2,2,1,]-[1]";"[1,2,2,2,1]";0;1;2;2;2;0;1;1;3;1
779.15721;"[0,1,2,2,2,1,]-[2]";"[1,2,2,2,1]";0;1;2;2;2;0;2;1;3;1
796.18376;"[0,1,2,2,2,1,]-[3]";"[1,2,2,2,1]";0;1;2;2;2;0;3;1;3;1
825.06092;"[0,1,2,2,3,1,]-[0]";"[1,2,2,3,1]";0;1;2;2;3;0;0;1;3;1
842.08747;"[0,1,2,2,3,1,]-[1]";"[1,2,2,3,1]";0;1;2;2;3;0;1;1;3;1
859.11402;"[0,1,2,2,3,1,]-[2]";"[1,2,2,3,1]";0;1;2;2;3;0;2;1;3;1
876.14057;"[0,1,2,2,3,1,]-[3]";"[1,2,2,3,1]";0;1;2;2;3;0;3;1;3;1
893.16712;"[0,1,2,2,3,1,]-[4]";"[1,2,2,3,1]";0;1;2;2;3;0;4;1;3;1
905.01773;"[0,1,2,2,4,1,]-[0]";"[1,2,2,4,1]";0;1;2;2;4;0;0;1;3;1
922.04428;"[0,1,2,2,4,1,]-[1]";"[1,2,2,4,1]";0;1;2;2;4;0;1;1;3;1
939.07083;"[0,1,2,2,4,1,]-[2]";"[1,2,2,4,1]";0;1;2;2;4;0;2;1;3;1
956.09738;"[0,1,2,2,4,1,]-[3]";"[1,2,2,4,1]";0;1;2;2;4;0;3;1;3;1
973.12393;"[0,1,2,2,4,1,]-[4]";"[1,2,2,4,1]";0;1;2;2;4;0;4;1;3;1
990.15048;"[0,1,2,2,4,1,]-[5]";"[1,2,2,4,1]";0;1;2;2;4;0;5;1;3;1
627.20105;"[0,1,2,3,0,1,]-[0]";"[1,2,3,0,1]";0;1;2;3;0;0;0;1;3;1
644.2276;"[0,1,2,3,0,1,]-[1]";"[1,2,3,0,1]";0;1;2;3;0;0;1;1;3;1
707.15786;"[0,1,2,3,1,1,]-[0]";"[1,2,3,1,1]";0;1;2;3;1;0;0;1;3;1
724.18441;"[0,1,2,3,1,1,]-[1]";"[1,2,3,1,1]";0;1;2;3;1;0;1;1;3;1
741.21096;"[0,1,2,3,1,1,]-[2]";"[1,2,3,1,1]";0;1;2;3;1;0;2;1;3;1
787.11467;"[0,1,2,3,2,1,]-[0]";"[1,2,3,2,1]";0;1;2;3;2;0;0;1;3;1
804.14122;"[0,1,2,3,2,1,]-[1]";"[1,2,3,2,1]";0;1;2;3;2;0;1;1;3;1
821.16777;"[0,1,2,3,2,1,]-[2]";"[1,2,3,2,1]";0;1;2;3;2;0;2;1;3;1
838.19432;"[0,1,2,3,2,1,]-[3]";"[1,2,3,2,1]";0;1;2;3;2;0;3;1;3;1
867.07148;"[0,1,2,3,3,1,]-[0]";"[1,2,3,3,1]";0;1;2;3;3;0;0;1;3;1
884.09803;"[0,1,2,3,3,1,]-[1]";"[1,2,3,3,1]";0;1;2;3;3;0;1;1;3;1
901.12458;"[0,1,2,3,3,1,]-[2]";"[1,2,3,3,1]";0;1;2;3;3;0;2;1;3;1
918.15113;"[0,1,2,3,3,1,]-[3]";"[1,2,3,3,1]";0;1;2;3;3;0;3;1;3;1
935.17768;"[0,1,2,3,3,1,]-[4]";"[1,2,3,3,1]";0;1;2;3;3;0;4;1;3;1
757.15827;"[0,2,2,0,1,1,]-[0]";"[2,2,0,1,1]";0;2;2;0;1;0;0;1;4;1
774.18482;"[0,2,2,0,1,1,]-[1]";"[2,2,0,1,1]";0;2;2;0;1;0;1;1;4;1
791.21137;"[0,2,2,0,1,1,]-[2]";"[2,2,0,1,1]";0;2;2;0;1;0;2;1;4;1
808.23792;"[0,2,2,0,1,1,]-[3]";"[2,2,0,1,1]";0;2;2;0;1;0;3;1;4;1
837.11508;"[0,2,2,0,2,1,]-[0]";"[2,2,0,2,1]";0;2;2;0;2;0;0;1;4;1
854.14163;"[0,2,2,0,2,1,]-[1]";"[2,2,0,2,1]";0;2;2;0;2;0;1;1;4;1
871.16818;"[0,2,2,0,2,1,]-[2]";"[2,2,0,2,1]";0;2;2;0;2;0;2;1;4;1
888.19473;"[0,2,2,0,2,1,]-[3]";"[2,2,0,2,1]";0;2;2;0;2;0;3;1;4;1
905.22128;"[0,2,2,0,2,1,]-[4]";"[2,2,0,2,1]";0;2;2;0;2;0;4;1;4;1
917.07189;"[0,2,2,0,3,1,]-[0]";"[2,2,0,3,1]";0;2;2;0;3;0;0;1;4;1
934.09844;"[0,2,2,0,3,1,]-[1]";"[2,2,0,3,1]";0;2;2;0;3;0;1;1;4;1
951.12499;"[0,2,2,0,3,1,]-[2]";"[2,2,0,3,1]";0;2;2;0;3;0;2;1;4;1
968.15154;"[0,2,2,0,3,1,]-[3]";"[2,2,0,3,1]";0;2;2;0;3;0;3;1;4;1
985.17809;"[0,2,2,0,3,1,]-[4]";"[2,2,0,3,1]";0;2;2;0;3;0;4;1;4;1
1002.20464;"[0,2,2,0,3,1,]-[5]";"[2,2,0,3,1]";0;2;2;0;3;0;5;1;4;1
997.0287;"[0,2,2,0,4,1,]-[0]";"[2,2,0,4,1]";0;2;2;0;4;0;0;1;4;1
1014.05525;"[0,2,2,0,4,1,]-[1]";"[2,2,0,4,1]";0;2;2;0;4;0;1;1;4;1
1031.0818;"[0,2,2,0,4,1,]-[2]";"[2,2,0,4,1]";0;2;2;0;4;0;2;1;4;1
1048.10835;"[0,2,2,0,4,1,]-[3]";"[2,2,0,4,1]";0;2;2;0;4;0;3;1;4;1
1065.1349;"[0,2,2,0,4,1,]-[4]";"[2,2,0,4,1]";0;2;2;0;4;0;4;1;4;1
1082.16145;"[0,2,2,0,4,1,]-[5]";"[2,2,0,4,1]";0;2;2;0;4;0;5;1;4;1
1099.188;"[0,2,2,0,4,1,]-[6]";"[2,2,0,4,1]";0;2;2;0;4;0;6;1;4;1
1076.98551;"[0,2,2,0,5,1,]-[0]";"[2,2,0,5,1]";0;2;2;0;5;0;0;1;4;1
1094.01206;"[0,2,2,0,5,1,]-[1]";"[2,2,0,5,1]";0;2;2;0;5;0;1;1;4;1
1111.03861;"[0,2,2,0,5,1,]-[2]";"[2,2,0,5,1]";0;2;2;0;5;0;2;1;4;1
1128.06516;"[0,2,2,0,5,1,]-[3]";"[2,2,0,5,1]";0;2;2;0;5;0;3;1;4;1
1145.09171;"[0,2,2,0,5,1,]-[4]";"[2,2,0,5,1]";0;2;2;0;5;0;4;1;4;1
1162.11826;"[0,2,2,0,5,1,]-[5]";"[2,2,0,5,1]";0;2;2;0;5;0;5;1;4;1
1179.14481;"[0,2,2,0,5,1,]-[6]";"[2,2,0,5,1]";0;2;2;0;5;0;6;1;4;1
1196.17136;"[0,2,2,0,5,1,]-[7]";"[2,2,0,5,1]";0;2;2;0;5;0;7;1;4;1
1156.94232;"[0,2,2,0,6,1,]-[0]";"[2,2,0,6,1]";0;2;2;0;6;0;0;1;4;1
1173.96887;"[0,2,2,0,6,1,]-[1]";"[2,2,0,6,1]";0;2;2;0;6;0;1;1;4;1
1190.99542;"[0,2,2,0,6,1,]-[2]";"[2,2,0,6,1]";0;2;2;0;6;0;2;1;4;1
1208.02197;"[0,2,2,0,6,1,]-[3]";"[2,2,0,6,1]";0;2;2;0;6;0;3;1;4;1
1225.04852;"[0,2,2,0,6,1,]-[4]";"[2,2,0,6,1]";0;2;2;0;6;0;4;1;4;1
1242.07507;"[0,2,2,0,6,1,]-[5]";"[2,2,0,6,1]";0;2;2;0;6;0;5;1;4;1
1259.10162;"[0,2,2,0,6,1,]-[6]";"[2,2,0,6,1]";0;2;2;0;6;0;6;1;4;1
1276.12817;"[0,2,2,0,6,1,]-[7]";"[2,2,0,6,1]";0;2;2;0;6;0;7;1;4;1
1293.15472;"[0,2,2,0,6,1,]-[8]";"[2,2,0,6,1]";0;2;2;0;6;0;8;1;4;1
1236.89913;"[0,2,2,0,7,1,]-[0]";"[2,2,0,7,1]";0;2;2;0;7;0;0;1;4;1
1253.92568;"[0,2,2,0,7,1,]-[1]";"[2,2,0,7,1]";0;2;2;0;7;0;1;1;4;1
1270.95223;"[0,2,2,0,7,1,]-[2]";"[2,2,0,7,1]";0;2;2;0;7;0;2;1;4;1
1287.97878;"[0,2,2,0,7,1,]-[3]";"[2,2,0,7,1]";0;2;2;0;7;0;3;1;4;1
1305.00533;"[0,2,2,0,7,1,]-[4]";"[2,2,0,7,1]";0;2;2;0;7;0;4;1;4;1
1322.03188;"[0,2,2,0,7,1,]-[5]";"[2,2,0,7,1]";0;2;2;0;7;0;5;1;4;1
1339.05843;"[0,2,2,0,7,1,]-[6]";"[2,2,0,7,1]";0;2;2;0;7;0;6;1;4;1
1356.08498;"[0,2,2,0,7,1,]-[7]";"[2,2,0,7,1]";0;2;2;0;7;0;7;1;4;1
1373.11153;"[0,2,2,0,7,1,]-[8]";"[2,2,0,7,1]";0;2;2;0;7;0;8;1;4;1
1390.13808;"[0,2,2,0,7,1,]-[9]";"[2,2,0,7,1]";0;2;2;0;7;0;9;1;4;1
799.16883;"[0,2,2,1,1,1,]-[0]";"[2,2,1,1,1]";0;2;2;1;1;0;0;1;4;1
816.19538;"[0,2,2,1,1,1,]-[1]";"[2,2,1,1,1]";0;2;2;1;1;0;1;1;4;1
833.22193;"[0,2,2,1,1,1,]-[2]";"[2,2,1,1,1]";0;2;2;1;1;0;2;1;4;1
850.24848;"[0,2,2,1,1,1,]-[3]";"[2,2,1,1,1]";0;2;2;1;1;0;3;1;4;1
879.12564;"[0,2,2,1,2,1,]-[0]";"[2,2,1,2,1]";0;2;2;1;2;0;0;1;4;1
896.15219;"[0,2,2,1,2,1,]-[1]";"[2,2,1,2,1]";0;2;2;1;2;0;1;1;4;1
913.17874;"[0,2,2,1,2,1,]-[2]";"[2,2,1,2,1]";0;2;2;1;2;0;2;1;4;1
930.20529;"[0,2,2,1,2,1,]-[3]";"[2,2,1,2,1]";0;2;2;1;2;0;3;1;4;1
947.23184;"[0,2,2,1,2,1,]-[4]";"[2,2,1,2,1]";0;2;2;1;2;0;4;1;4;1
959.08245;"[0,2,2,1,3,1,]-[0]";"[2,2,1,3,1]";0;2;2;1;3;0;0;1;4;1
976.109;"[0,2,2,1,3,1,]-[1]";"[2,2,1,3,1]";0;2;2;1;3;0;1;1;4;1
993.13555;"[0,2,2,1,3,1,]-[2]";"[2,2,1,3,1]";0;2;2;1;3;0;2;1;4;1
1010.1621;"[0,2,2,1,3,1,]-[3]";"[2,2,1,3,1]";0;2;2;1;3;0;3;1;4;1
1027.18865;"[0,2,2,1,3,1,]-[4]";"[2,2,1,3,1]";0;2;2;1;3;0;4;1;4;1
1044.2152;"[0,2,2,1,3,1,]-[5]";"[2,2,1,3,1]";0;2;2;1;3;0;5;1;4;1
1039.03926;"[0,2,2,1,4,1,]-[0]";"[2,2,1,4,1]";0;2;2;1;4;0;0;1;4;1
1056.06581;"[0,2,2,1,4,1,]-[1]";"[2,2,1,4,1]";0;2;2;1;4;0;1;1;4;1
1073.09236;"[0,2,2,1,4,1,]-[2]";"[2,2,1,4,1]";0;2;2;1;4;0;2;1;4;1
1090.11891;"[0,2,2,1,4,1,]-[3]";"[2,2,1,4,1]";0;2;2;1;4;0;3;1;4;1
1107.14546;"[0,2,2,1,4,1,]-[4]";"[2,2,1,4,1]";0;2;2;1;4;0;4;1;4;1
1124.17201;"[0,2,2,1,4,1,]-[5]";"[2,2,1,4,1]";0;2;2;1;4;0;5;1;4;1
1141.19856;"[0,2,2,1,4,1,]-[6]";"[2,2,1,4,1]";0;2;2;1;4;0;6;1;4;1
1118.99607;"[0,2,2,1,5,1,]-[0]";"[2,2,1,5,1]";0;2;2;1;5;0;0;1;4;1
1136.02262;"[0,2,2,1,5,1,]-[1]";"[2,2,1,5,1]";0;2;2;1;5;0;1;1;4;1
1153.04917;"[0,2,2,1,5,1,]-[2]";"[2,2,1,5,1]";0;2;2;1;5;0;2;1;4;1
1170.07572;"[0,2,2,1,5,1,]-[3]";"[2,2,1,5,1]";0;2;2;1;5;0;3;1;4;1
1187.10227;"[0,2,2,1,5,1,]-[4]";"[2,2,1,5,1]";0;2;2;1;5;0;4;1;4;1
1204.12882;"[0,2,2,1,5,1,]-[5]";"[2,2,1,5,1]";0;2;2;1;5;0;5;1;4;1
1221.15537;"[0,2,2,1,5,1,]-[6]";"[2,2,1,5,1]";0;2;2;1;5;0;6;1;4;1
1238.18192;"[0,2,2,1,5,1,]-[7]";"[2,2,1,5,1]";0;2;2;1;5;0;7;1;4;1
1198.95288;"[0,2,2,1,6,1,]-[0]";"[2,2,1,6,1]";0;2;2;1;6;0;0;1;4;1
1215.97943;"[0,2,2,1,6,1,]-[1]";"[2,2,1,6,1]";0;2;2;1;6;0;1;1;4;1
1233.00598;"[0,2,2,1,6,1,]-[2]";"[2,2,1,6,1]";0;2;2;1;6;0;2;1;4;1
1250.03253;"[0,2,2,1,6,1,]-[3]";"[2,2,1,6,1]";0;2;2;1;6;0;3;1;4;1
1267.05908;"[0,2,2,1,6,1,]-[4]";"[2,2,1,6,1]";0;2;2;1;6;0;4;1;4;1
1284.08563;"[0,2,2,1,6,1,]-[5]";"[2,2,1,6,1]";0;2;2;1;6;0;5;1;4;1
1301.11218;"[0,2,2,1,6,1,]-[6]";"[2,2,1,6,1]";0;2;2;1;6;0;6;1;4;1
1318.13873;"[0,2,2,1,6,1,]-[7]";"[2,2,1,6,1]";0;2;2;1;6;0;7;1;4;1
1335.16528;"[0,2,2,1,6,1,]-[8]";"[2,2,1,6,1]";0;2;2;1;6;0;8;1;4;1
841.17939;"[0,2,2,2,1,1,]-[0]";"[2,2,2,1,1]";0;2;2;2;1;0;0;1;4;1
858.20594;"[0,2,2,2,1,1,]-[1]";"[2,2,2,1,1]";0;2;2;2;1;0;1;1;4;1
875.23249;"[0,2,2,2,1,1,]-[2]";"[2,2,2,1,1]";0;2;2;2;1;0;2;1;4;1
